M_mean,M_variance,M_skewness,M_kurtosis,P_mean,P_variance,P_skewness,P_kurtosis,MFCC_Mean,MFCC_Variance,Delta_Mean,Delta_Variance,DoubleDelta_Mean,DoubleDelta_Variance,Class
-0.179549723,-0.107892903,0.499106012,0.572249836,-0.021948447,-3.125413122,5.288815303,6.395096402,0.733728167,-0.206590916,0.451123038,0.237792981,-0.169826459,0.201502591,AI
0.210095782,0.428336902,-0.173499473,-0.201684672,-1.090690958,-0.801045798,1.230586373,0.617896514,0.521495877,-0.196945335,0.462261099,0.353109144,-0.075623247,0.387985268,AI
0.130010735,0.366970372,-0.006191304,-0.062233801,0.393605717,-0.08365422,0.134300946,-0.240083429,0.579933342,-0.088822639,0.291146731,0.711237022,-0.84993269,0.698772345,AI
0.170589839,0.530995734,-0.111624436,-0.175359368,1.261846198,-0.999468764,-4.071940942,1.720384088,-0.733836493,1.546277855,0.500005073,0.601276367,-1.552011788,0.377636241,AI
1.492586837,0.995478015,-0.651575942,-0.427702578,-0.582817157,0.56826387,0.016418731,-0.732851955,0.12391171,0.072782715,0.477112167,0.467710335,-1.587440549,0.230112501,AI
1.836064819,1.596930003,-0.648840862,-0.427627733,-0.551906441,0.925633954,0.275925651,-0.483828167,-0.497080414,0.76252697,-0.441911867,0.235747749,-1.625827107,0.03674122,AI
0.12447833,0.373259682,-0.087468563,-0.121291229,-0.865248519,0.107943091,0.081600956,0.011013404,0.088717455,0.569976183,0.530436005,0.417258328,-0.886776703,0.277858328,AI
0.474894337,0.441635961,-0.355983532,-0.288709067,0.43475442,0.635241449,-0.506110176,-0.080647182,-0.370412145,0.81485852,-0.892258013,0.413316064,-0.481239127,0.447181156,AI
-0.012429201,-0.076845061,-0.047013779,-0.066859433,-1.293574726,-0.521348443,1.605863238,-0.027605638,0.353944738,0.202473612,0.480435769,1.023984503,-1.600198652,0.841160232,AI
0.228709902,-0.202936295,-0.260375315,-0.139940941,0.755025985,-0.302858329,0.080454088,-0.031497471,0.429021415,-0.174571509,0.458506388,0.305581605,-0.245815381,0.19183188,AI
0.167120799,-0.055630621,-0.227984888,-0.185388943,0.083205239,-1.091404682,-0.015678311,1.649207012,-0.120369309,0.254470388,0.155989742,0.261007953,-0.258098647,0.30285551,AI
0.241537959,0.325288075,-0.240538657,-0.205252623,0.168468752,-0.676987403,-0.327665969,0.568533256,0.529421115,-0.036956899,0.375603451,0.611693042,-0.275351692,0.652283496,AI
-0.174603212,-0.115995656,0.351266734,0.368249976,-1.099988509,0.18683856,1.072505986,-0.130392791,-0.193743407,0.718356351,-0.985924466,0.175786811,-0.636273129,0,AI
-0.174603212,-0.115995656,0.351266734,0.368249976,-1.099988509,0.18683856,1.072505986,-0.130392791,-0.193743407,0.718356351,-0.985924466,0.175786811,-0.636273129,0,AI
0.140352039,0.176240133,-0.051296256,-0.070398676,0.275208207,-0.164324793,-0.238734491,-0.21299547,0.239889835,0.090505403,-0.033697808,1.139123944,-0.754588481,1.287941997,AI
-0.003823539,-0.239348933,-0.004812354,0.077245068,0.213743566,-0.419370601,0.340341017,0.196931675,0.21471684,-0.227481792,0.290454368,0.438084214,0.17932628,0.29357858,AI
1.046463765,1.299773156,-0.477649101,-0.365197031,-0.010699457,-0.448296233,0.213776501,0.66030916,0.100144447,0.100998093,0,0.852778049,-0.873730072,0.723628197,AI
0.935196539,1.133035983,-0.49068824,-0.371270261,-0.523919712,0.337700368,-0.128115328,-0.255797741,0.620906309,-0.108471952,0.267289821,0.580187233,-1.411806115,0.524641735,AI
1.852791646,1.947121133,-0.658421198,-0.435411674,0.264049106,-0.167926001,-0.346886293,0.170304581,0.152288145,-0.13515246,0.428043499,0.268753316,-0.132972031,0.030655051,AI
1.126568138,1.560109939,-0.462509954,-0.354805642,-0.739608358,0.112331669,0.622161521,-0.088406158,0.871812753,-0.246528244,0.313794043,0.329290283,-0.553814316,0.492367214,AI
-0.340362666,-0.399036414,0.746389784,0.89910509,0.693481781,-0.842302315,-3.431879541,2.49413433,0.902266287,-0.335766047,0.404063551,0.043459121,-0.142412834,0.035469526,AI
